Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
DeepSeek_e4m3,12.39,0.2891687011718744,0.408212051391601,0.5400203323364252,0.7122119522094721,0.8752664184570307,1.080479011535644,1.3993447875976557,
DeepSeek_e4m3 + 4o6,12.39,0.1378701782226556,0.2713855361938471,0.4315332031249994,0.6138404464721674,0.8172858810424799,1.077448234558105,1.3793443298339838,
DeepSeek_e4m3 + 4o6 + H,12.39,0.1119407272338861,0.2666162109374994,0.4465669250488275,0.6394733047485346,0.8068669891357416,1.0572322463989252,1.3891891098022455,
DeepSeek_e4m3 + 4o6 + PZ,12.39,0.1405490493774408,0.2746823883056635,0.4244550323486322,0.6231654739379877,0.828774795532226,1.077448234558105,1.3793443298339838,
DeepSeek_e4m3 + 4o6 + PZ + H,12.39,0.1127894973754877,0.2631534194946283,0.4542411422729486,0.6192611312866205,0.8066400146484369,1.0572322463989252,1.3891891098022455,
DeepSeek_e4m3 + H,12.39,0.2056544876098627,0.3771051025390619,0.5368293380737299,0.6965964889526362,0.8410466766357416,1.0773166275024408,1.3934901809692375,
DeepSeek_e4m3 + PZ,12.39,0.2878326034545893,0.4092315292358393,0.5478366470336908,0.7057851409912104,0.8654559707641596,1.0802167510986322,1.3993447875976557,
DeepSeek_e4m3 + PZ + H,12.39,0.2039702987670892,0.3669236755371088,0.5366357421874994,0.7005561447143549,0.8340734100341791,1.0754378890991203,1.3934901809692375,
DeepSeek_int4 + PZ,12.39,,,,,,,,4.4745725250244135
DeepSeek_int4 + PZ + RH256,12.39,,,,,,,,1.6354020690917963
DeepSeek_int8 + PZ,12.39,,,,,,,,-0.0858847045898443
DeepSeek_int8 + PZ + RH256,12.39,,,,,,,,-0.1015402221679693
DeepSeek_mxfp4 (e1m2),12.39,,,,2.00452838897705,,,,
DeepSeek_mxfp4 (e2m1),12.39,,,,1.3479026412963862,,,,
DeepSeek_ue5m3,12.39,0.2033341979980463,0.3709825134277338,0.5280145263671869,0.7051671600341791,0.8555244064331049,1.1033757781982416,1.4128831481933588,
DeepSeek_ue5m3 + 4o6,12.39,0.126,0.248,0.425,0.608,0.81,1.088,1.413,
DeepSeek_ue5m3 + 4o6 + H,12.39,0.1170714950561517,0.273324356079101,0.4374345397949213,0.6161655044555658,0.8151162719726557,1.075326309204101,1.4168418502807612,
DeepSeek_ue5m3 + 4o6 + PZ,12.39,0.1248420333862299,0.2480577087402338,0.4248221969604486,0.6082328414916987,0.8104537582397455,1.0881246185302729,1.4133466339111322,
DeepSeek_ue5m3 + 4o6 + PZ + H,12.39,0.1170714950561517,0.273324356079101,0.4374345397949213,0.6161655044555658,0.8151162719726557,1.075326309204101,1.4168418502807612,
DeepSeek_ue5m3 + H,12.39,0.2068561172485346,0.3751176452636713,0.5269921874999994,0.6646293258666987,0.8554605102539057,1.0940650558471674,1.385786399841308,
DeepSeek_ue5m3 + PZ,12.39,0.2011397933959955,0.3709825134277338,0.5280145263671869,0.7051671600341791,0.8555244064331049,1.1033757781982416,1.4128831481933588,
DeepSeek_ue5m3 + PZ + H,12.39,0.2068561172485346,0.3751176452636713,0.5269921874999994,0.6646293258666987,0.8554605102539057,1.0940650558471674,1.385786399841308,
Granite_e4m3,4.91,0.8646453285217284,0.7005813980102538,0.6402133369445799,0.6727374458312987,0.7720707321166991,0.939947452545166,1.304613914489746,
Granite_e4m3 + 4o6,4.91,0.4337309265136717,0.4765771293640135,0.5587547683715819,0.6900308990478514,0.7757333183288573,0.9386275672912596,1.284529056549072,
Granite_e4m3 + 4o6 + H,4.91,-0.0648199653625489,-0.0004240608215333,0.0729425811767576,0.1835120582580565,0.3753040695190428,0.5872858428955077,1.0667332077026366,
Granite_e4m3 + 4o6 + PZ,4.91,0.4269774818420409,0.4754589462280272,0.561205711364746,0.6956571006774901,0.7757333183288573,0.9386275672912596,1.284529056549072,
Granite_e4m3 + 4o6 + PZ + H,4.91,-0.076757106781006,-0.004871997833252,0.0749848747253416,0.1822470092773436,0.3758109474182127,0.5832732582092284,1.0667332077026366,
Granite_e4m3 + H,4.91,0.0033505821228025,0.0657189750671385,0.1353238487243651,0.2062714958190916,0.3802035713195799,0.599932518005371,1.048716869354248,
Granite_e4m3 + PZ,4.91,0.7686046028137206,0.6936305427551268,0.6387961769104002,0.6821425819396971,0.771471824645996,0.939947452545166,1.304613914489746,
Granite_e4m3 + PZ + H,4.91,-0.0338660812377931,0.0391758346557615,0.1182077789306639,0.2013629341125486,0.3699925804138182,0.6010769271850585,1.0486520195007325,
Granite_e4m3 + PZ + RH16,,,,0.3532775306701659,,,,,
Granite_int4 + PZ,4.91,,,,,,,,5.7828091049194335
Granite_int4 + PZ + RH256,4.91,,,,,,,,0.5496967697143553
Granite_int8 + PZ,4.91,,,,,,,,-0.1556421852111817
Granite_int8 + PZ + RH256,4.91,,,,,,,,-0.1858626937866212
Granite_mxfp4 (e1m2),4.91,,,,1.0449417495727538,,,,
Granite_mxfp4 (e1m2) + 4o6,,,,,0.7349303627014159,,,,
Granite_mxfp4 (e1m2) + H,,,,,1.0193766021728514,,,,
Granite_mxfp4 (e1m2) + RH128,,,,,0.6670978927612303,,,,
Granite_mxfp4 (e1m2) + RH16,,,,,0.651145782470703,,,,
Granite_mxfp4 (e1m2) + RH32,,,,,0.6138428115844725,,,,
Granite_mxfp4 (e1m2) + RH64,,,,,0.6694267654418944,,,,
Granite_mxfp4 (e2m1),4.91,,,,0.5938981437683104,,,,
Granite_mxfp4 (e2m1) + RH128,,,,,0.3916295433044432,,,,
Granite_mxfp4 (e2m1) + RH16,,,,,0.3980348968505858,,,,
Granite_mxfp4 (e2m1) + RH32,,,,,0.3835047149658201,,,,
Granite_mxfp4 (e2m1) + RH64,,,,,0.3872912788391112,,,,
Granite_ue5m3,4.91,-0.0335074996948243,0.040653553009033,0.1064904594421385,0.1915620231628416,0.3829534912109373,0.5980566406249999,1.004003372192383,
Granite_ue5m3 + 4o6,4.91,-0.081,-0.022,0.063,0.171,0.375,0.58,1.038,
Granite_ue5m3 + 4o6 + H,4.91,-0.0709091758728028,-0.0156876182556153,0.0714114570617674,0.2143848800659178,0.3481052780151366,0.5683363342285155,1.0483330154418944,
Granite_ue5m3 + 4o6 + PZ,4.91,-0.081278476715088,-0.0222264862060548,0.063257541656494,0.1713169479370115,0.3753827476501463,0.5795992279052733,1.0380004310607909,
Granite_ue5m3 + 4o6 + PZ + H,4.91,-0.0709091758728028,-0.0156876182556153,0.0714114570617674,0.2143848800659178,0.3481052780151366,0.5683363342285155,1.0483330154418944,
Granite_ue5m3 + H,4.91,-0.031631145477295,0.0359877014160154,0.1264112854003904,0.2157247924804686,0.3687809371948241,0.5847848320007323,1.0463632011413573,
Granite_ue5m3 + PZ,4.91,-0.0335074996948243,0.040653553009033,0.1064904594421385,0.1915620231628416,0.3829534912109373,0.5980566406249999,1.004003372192383,
Granite_ue5m3 + PZ + H,4.91,-0.031631145477295,0.0359877014160154,0.1264112854003904,0.2157247924804686,0.3687809371948241,0.5847848320007323,1.0463632011413573,
Llama_e4m3,6.33,0.725,0.563,0.538,0.585,0.668,0.798,0.988,
Llama_e4m3 + 4o6,6.33,0.27,0.325,0.421,0.527,0.662,0.797,0.992,
Llama_e4m3 + 4o6 + H,6.33,0.1152219009399413,0.2337841224670409,0.3674329948425292,0.4914516639709472,0.6380056571960449,0.7989625167846679,0.988195343017578,
Llama_e4m3 + 4o6 + PZ,6.33,0.25,0.317,0.424,0.53,0.66,0.798,0.991,
Llama_e4m3 + 4o6 + PZ + H,6.33,0.1153425407409667,0.2328347396850585,0.3632806968688964,0.492366714477539,0.6244248580932616,0.8016041946411132,0.988195343017578,
Llama_e4m3 + H,6.33,0.2076930236816405,0.3211673927307128,0.4192370605468749,0.5253061485290527,0.647818489074707,0.7920178604125976,0.9885949325561524,
Llama_e4m3 + PZ,6.33,0.591,0.541,0.535,0.577,0.676,0.804,0.988,
Llama_e4m3 + PZ + H,6.33,0.1987194252014159,0.3141340446472167,0.4303273391723632,0.5282286834716796,0.6431297492980956,0.7865981292724609,0.9831089210510252,
Llama_int4 + PZ,6.33,,,,,,,,3.321741981506348
Llama_int4 + PZ + RH256,6.33,,,,,,,,1.3388275337219238
Llama_int8 + PZ,6.33,,,,,,,,-0.0602927970886231
Llama_int8 + PZ + RH256,6.33,,,,,,,,-0.0813556480407715
Llama_mxfp4 (e1m2),6.33,,,,1.8104762268066408,,,,
Llama_mxfp4 (e2m1),6.33,,,,0.9357403945922852,,,,
Llama_ue5m3,6.33,0.196,0.309,0.439,0.537,0.655,0.776,1.007,
Llama_ue5m3 + 4o6,6.33,0.1087989044189452,0.2316722106933593,0.3831104469299315,0.4986066055297851,0.6398076248168945,0.7961544227600097,1.0026568603515624,
Llama_ue5m3 + 4o6 + H,6.33,0.1145276260375975,0.2301701736450194,0.3646706771850585,0.4967135620117187,0.6400064659118652,0.8106865119934081,0.9872926902770996,
Llama_ue5m3 + 4o6 + PZ,6.33,0.107,0.232,0.383,0.499,0.64,0.796,1.003,
Llama_ue5m3 + 4o6 + PZ + H,6.33,0.1145276260375975,0.2301701736450194,0.3646706771850585,0.4967135620117187,0.6400064659118652,0.8106865119934081,0.9872926902770996,
Llama_ue5m3 + H,6.33,0.1889290046691893,0.3016404342651366,0.4263395500183105,0.5366543960571288,0.6572384071350097,0.8062242698669433,0.9954079818725584,
Llama_ue5m3 + PZ,6.33,0.196,0.309,0.439,0.537,0.655,0.776,1.007,
Llama_ue5m3 + PZ + H,6.33,0.1889290046691893,0.3016404342651366,0.4263395500183105,0.5366543960571288,0.6572384071350097,0.8062242698669433,0.9954079818725584,
Qwen_e4m3,5.358388710021973,0.4686424255371086,0.4912693023681633,0.5589444160461419,0.6502806663513176,0.8085543632507317,1.0351912498474114,1.488655757904052,
Qwen_e4m3 + 4o6,5.358388710021973,0.273114871978759,0.3614432334899895,0.4739901542663567,0.6101834297180169,0.781690311431884,1.0397150039672844,1.4696495056152337,
Qwen_e4m3 + 4o6 + H,5.358388710021973,0.1948620796203606,0.3338968276977532,0.4615408897399895,0.6059624671936028,0.7882401466369622,1.0295497894287102,1.4744588851928704,
Qwen_e4m3 + 4o6 + PZ,5.358388710021973,0.2621595382690422,0.3491627693176262,0.4694373130798333,0.6088649749755852,0.7854287147521966,1.032354545593261,1.478500080108642,
Qwen_e4m3 + 4o6 + PZ + H,5.358388710021973,0.1894495010375969,0.3288404464721672,0.4585000991821282,0.6037041664123528,0.7904297828674309,1.036641311645507,1.475249004364013,
Qwen_e4m3 + H,5.358388710021973,0.3059103012084954,0.4146010398864739,0.5176469802856438,0.6416174888610833,0.7985798835754387,1.0264713287353509,1.4777485847473135,
Qwen_e4m3 + PZ,5.358388710021973,0.445290279388427,0.4779741287231438,0.5490667343139641,0.6407105445861809,0.8056804656982415,1.036408615112304,1.486985874176025,
Qwen_e4m3 + PZ + H,5.358388710021973,0.2996026992797844,0.4063722610473625,0.512187194824218,0.6348826408386223,0.7872216224670403,1.0344078063964837,1.4806844711303704,
Qwen_e4m3 + PZ + RH16,,,,0.6779620170593255,,,,,
Qwen_int4 + PZ,5.358388710021973,,,,,,,,16.08063335418701
Qwen_int4 + PZ + RH256,5.358388710021973,,,,,,,,1.153640937805175
Qwen_int8 + PZ,5.358388710021973,,,,,,,,0.0193550109863274
Qwen_int8 + PZ + RH256,5.358388710021973,,,,,,,,-0.003853607177735
Qwen_mxfp4 (e1m2),5.358388710021973,,,,1.7853652954101555,,,,
Qwen_mxfp4 (e1m2) + 4o6,,,,,1.231859874725341,,,,
Qwen_mxfp4 (e1m2) + H,,,,,1.7198345184326165,,,,
Qwen_mxfp4 (e1m2) + RH128,,,,,1.335740756988525,,,,
Qwen_mxfp4 (e1m2) + RH16,,,,,1.2889539718627925,,,,
Qwen_mxfp4 (e1m2) + RH32,,,,,1.2895795822143548,,,,
Qwen_mxfp4 (e1m2) + RH64,,,,,1.2841040611267085,,,,
Qwen_mxfp4 (e2m1),5.358388710021973,,,,1.102836799621581,,,,
Qwen_mxfp4 (e2m1) + RH128,,,,,0.8820020675659173,,,,
Qwen_mxfp4 (e2m1) + RH16,,,,,0.8761698722839348,,,,
Qwen_mxfp4 (e2m1) + RH32,,,,,0.8806602478027337,,,,
Qwen_mxfp4 (e2m1) + RH64,,,,,0.8859393119812005,,,,
Qwen_ue5m3,5.358388710021973,0.2789532661437981,0.3956729888916008,0.5097610473632805,0.637583923339843,0.7870361328124993,1.0582892417907708,1.5132777214050286,
Qwen_ue5m3 + 4o6,5.358388710021973,0.193,0.319,0.449,0.601,0.7822386741638176,1.055322360992431,1.5008503913879387,
Qwen_ue5m3 + 4o6 + H,5.358388710021973,0.1861540794372551,0.3153545379638665,0.452548694610595,0.6114103317260735,0.7776076316833489,1.0334565162658684,1.4944393157958975,
Qwen_ue5m3 + 4o6 + PZ,5.358388710021973,0.1968786239624016,0.3158084869384758,0.4481799125671379,0.600734901428222,0.7822386741638176,1.055322360992431,1.5008503913879387,
